ticket_id,showtime_id,customer_id,seat_number,seat_type,final_price
1,90,27,F10,Normal,160
2,19,79,B6,Normal,300
3,39,72,B11,Honeymoon,160
4,67,7,C11,Normal,160
5,45,191,J2,VIP,160
6,13,111,C8,VIP,300
7,92,119,F13,Honeymoon,240
8,58,174,A11,VIP,350
9,20,63,B14,Honeymoon,240
10,92,124,D15,Honeymoon,240
11,72,12,E1,Normal,160
12,61,141,K12,Normal,240
13,39,43,B7,Honeymoon,160
14,1,17,F3,Normal,160
15,3,63,H8,Honeymoon,350
16,77,120,J3,Honeymoon,200
17,92,36,K7,Normal,160
18,62,8,C14,Honeymoon,240
19,63,69,K9,Normal,350
20,25,90,G7,Normal,240
21,56,36,F2,Normal,200
22,33,28,K5,Normal,300
23,38,118,D10,Normal,200
24,6,93,D6,Normal,350
25,58,175,G12,Normal,200
26,44,76,B14,Honeymoon,200
27,45,101,E9,Normal,350
28,32,158,F5,Normal,350
29,45,151,C1,Normal,240
30,61,144,H7,Honeymoon,160
31,47,14,D1,Honeymoon,300
32,21,71,G7,Normal,300
33,80,180,D7,Normal,300
34,85,124,K3,Honeymoon,200
35,75,125,E14,Normal,350
36,36,37,C11,Normal,350
37,99,29,F2,Normal,350
38,19,195,J11,Normal,160
39,20,143,H9,Honeymoon,350
40,57,175,D7,Normal,350
41,18,174,F12,Normal,200
42,47,180,H4,Normal,240
43,49,19,K6,VIP,300
44,14,106,E9,Honeymoon,200
45,15,21,H15,Honeymoon,200
46,31,64,E7,Normal,200
47,1,165,E1,Normal,300
48,54,27,E11,VIP,200
49,3,55,B15,Normal,240
50,16,29,K11,Honeymoon,350
51,87,148,G6,Normal,240
52,57,25,D11,Normal,350
53,75,70,D8,Normal,350
54,12,63,A7,Honeymoon,200
55,74,164,G7,Honeymoon,200
56,96,130,H8,Normal,300
57,16,150,J5,Normal,160
58,72,16,J12,VIP,240
59,76,146,J1,Normal,300
60,24,197,C8,Honeymoon,300
61,28,182,J2,Normal,240
62,8,100,B11,Normal,240
63,92,30,J9,Normal,350
64,36,45,A4,Normal,160
65,90,19,C9,Normal,200
66,8,34,D9,Normal,160
67,58,141,C3,Normal,160
68,60,171,B5,Normal,200
69,50,62,B1,Normal,160
70,28,118,K14,Honeymoon,300
71,92,100,J7,Normal,300
72,41,22,F12,Normal,200
73,100,180,F7,Normal,200
74,64,180,E2,Normal,240
75,27,111,C1,Honeymoon,240
76,63,164,C12,Normal,160
77,17,73,A12,Honeymoon,160
78,73,147,E5,Normal,200
79,33,38,E13,Normal,160
80,84,70,J11,Normal,350
81,77,116,H10,Honeymoon,300
82,92,79,K2,VIP,160
83,29,185,H1,Normal,160
84,13,148,B1,Honeymoon,240
85,46,9,F3,Normal,350
86,35,32,J5,VIP,160
87,6,132,J11,Normal,300
88,82,50,K6,Normal,160
89,69,82,J10,Normal,200
90,47,5,H7,VIP,350
91,25,148,J7,Honeymoon,160
92,66,87,B6,VIP,350
93,10,126,K12,Honeymoon,160
94,56,75,F14,Normal,300
95,30,165,D2,VIP,300
96,5,22,K15,VIP,350
97,33,186,F10,Normal,240
98,65,68,J8,Normal,240
99,18,44,E12,Normal,200
100,96,34,C12,VIP,240
101,49,77,A9,Honeymoon,350
102,11,42,B10,Honeymoon,240
103,85,137,A2,VIP,200
104,26,106,B4,Honeymoon,160
105,63,95,B5,Honeymoon,240
106,89,135,E10,Honeymoon,350
107,86,68,B2,Normal,350
108,59,147,J4,Normal,200
109,27,159,F14,Normal,200
110,49,128,G4,Honeymoon,300
111,77,163,F9,Normal,300
112,33,185,J11,Normal,300
113,98,85,F12,Normal,160
114,99,189,D6,Normal,350
115,1,159,F7,Normal,300
116,21,83,A8,Normal,350
117,55,95,J1,Normal,200
118,6,181,A4,Normal,160
119,92,32,F11,Normal,200
120,81,66,J8,Normal,350
121,69,187,H5,Normal,300
122,95,116,G9,Normal,200
123,5,138,C7,Normal,240
124,3,130,E11,Normal,160
125,53,194,C3,Honeymoon,350
126,23,60,C1,Normal,300
127,53,17,J5,Normal,200
128,37,96,A12,Normal,160
129,74,144,A11,Normal,300
130,74,16,F13,Normal,200
131,83,46,E12,Normal,350
132,17,167,C2,Normal,240
133,85,159,D12,Normal,240
134,78,107,F11,Normal,350
135,73,88,B4,Honeymoon,160
136,1,129,H11,Normal,350
137,51,139,A14,VIP,200
138,45,119,C3,Normal,160
139,77,85,A10,Normal,240
140,4,4,F5,Normal,200
141,62,71,E4,Honeymoon,300
142,65,154,E8,Normal,300
143,32,111,G2,Normal,300
144,34,50,J5,Normal,240
145,92,140,F5,Normal,350
146,95,95,D14,Honeymoon,160
147,72,92,G7,Normal,240
148,39,65,B4,Normal,200
149,26,47,K14,Normal,200
150,34,181,B7,Normal,300
151,54,106,A9,Normal,160
152,3,199,A9,Normal,300
153,50,130,B12,Normal,200
154,12,106,B2,VIP,200
155,65,24,C15,Normal,350
156,54,4,A8,VIP,350
157,5,108,K11,Normal,350
158,94,19,J5,Normal,300
159,94,154,J3,Normal,160
160,57,40,C3,Honeymoon,350
161,17,50,A1,Normal,240
162,47,171,A6,Normal,350
163,23,75,C11,Normal,300
164,79,195,A5,Honeymoon,160
165,85,12,F5,Normal,350
166,14,195,B3,Normal,160
167,66,27,F7,Normal,240
168,75,113,E5,Honeymoon,200
169,51,182,F8,VIP,160
170,38,194,K1,Normal,350
171,64,49,J11,Normal,300
172,98,144,B10,Honeymoon,300
173,38,130,E9,Honeymoon,300
174,50,60,F7,Normal,300
175,98,182,H12,VIP,160
176,82,30,G5,Normal,300
177,30,84,C3,Normal,200
178,79,166,H6,Honeymoon,240
179,91,28,K11,Normal,160
180,51,25,J5,VIP,160
181,63,96,B1,Normal,300
182,98,125,F5,Normal,300
183,52,10,C8,Honeymoon,160
184,38,188,J15,Normal,300
185,97,42,F3,Normal,300
186,88,40,E3,Honeymoon,300
187,79,77,H7,Normal,300
188,30,105,F14,Normal,300
189,51,118,C8,Honeymoon,350
190,81,42,K15,Normal,350
191,5,47,K9,VIP,350
192,29,165,D7,Honeymoon,160
193,4,22,B14,Normal,240
194,10,185,K9,Normal,160
195,56,107,F1,VIP,350
196,17,27,K10,Normal,160
197,74,41,E4,Normal,240
198,17,80,G1,Normal,300
199,84,162,F14,Normal,200
200,88,160,A13,Normal,350
201,69,89,E12,VIP,350
202,34,66,A5,Honeymoon,240
203,6,12,A12,Normal,300
204,53,168,A3,Normal,300
205,66,73,C3,Normal,200
206,77,76,J1,Normal,300
207,43,90,D5,Honeymoon,240
208,75,10,K2,Honeymoon,300
209,23,96,B14,Honeymoon,240
210,55,176,C9,Normal,350
211,80,20,G1,Normal,350
212,95,39,G10,Normal,350
213,75,60,B2,Normal,160
214,16,66,D11,Normal,350
215,8,65,D1,VIP,240
216,4,179,E7,Honeymoon,200
217,4,124,K7,VIP,300
218,56,164,E7,Honeymoon,350
219,25,152,B8,Normal,160
220,67,155,G4,Normal,160
221,96,130,D9,Normal,240
222,67,159,K3,Normal,200
223,27,57,F2,Normal,350
224,93,78,B1,Honeymoon,350
225,32,194,C11,Normal,160
226,50,29,G8,Normal,240
227,61,15,J8,Normal,160
228,51,12,E1,Normal,160
229,19,101,F11,Normal,200
230,21,156,H13,Normal,240
231,5,84,G10,Normal,200
232,82,125,D4,Honeymoon,240
233,92,103,A2,Normal,350
234,42,24,H15,Normal,300
235,61,149,J3,Normal,300
236,22,138,F11,VIP,240
237,21,110,F2,Normal,300
238,70,78,K1,Honeymoon,160
239,1,101,D14,VIP,350
240,5,146,A12,Honeymoon,350
241,12,142,A4,Normal,300
242,90,162,H12,Normal,240
243,46,128,G5,Normal,160
244,34,58,J5,Normal,240
245,49,76,C11,Normal,300
246,78,150,J3,VIP,350
247,90,198,A7,VIP,350
248,45,36,E9,Normal,240
249,27,173,E9,Normal,200
250,73,164,F6,VIP,240
251,26,22,B15,Normal,200
252,47,127,E13,Normal,240
253,86,80,A6,Normal,200
254,56,189,F14,Honeymoon,200
255,94,100,K12,Normal,200
256,63,184,E6,Honeymoon,200
257,48,96,A10,Normal,160
258,61,161,K9,Normal,200
259,81,173,C7,Normal,200
260,26,164,F2,Normal,350
261,36,148,F2,Normal,160
262,1,18,C2,Normal,200
263,8,38,D2,Honeymoon,300
264,99,195,H5,Normal,160
265,52,151,H15,Honeymoon,350
266,79,109,A10,VIP,240
267,47,123,G7,Honeymoon,350
268,56,144,A5,VIP,350
269,86,187,F2,Normal,160
270,14,197,A1,Normal,160
271,90,196,J11,VIP,300
272,28,149,E7,Honeymoon,300
273,87,104,A15,Honeymoon,160
274,78,198,G3,Normal,160
275,88,140,B15,Normal,160
276,2,144,G13,Normal,240
277,26,81,F7,Honeymoon,350
278,14,87,E15,Normal,300
279,59,142,D15,Normal,300
280,56,61,C10,Normal,200
281,7,199,E14,Normal,240
282,3,46,J1,Normal,160
283,23,32,K12,Honeymoon,160
284,18,15,A3,Honeymoon,240
285,38,44,C6,Normal,300
286,99,145,C13,Normal,160
287,15,169,K8,VIP,200
288,64,54,H10,Normal,300
289,89,44,H4,Honeymoon,350
290,28,98,F15,Normal,240
291,74,5,F9,Normal,300
292,39,109,F2,Normal,350
293,57,27,A5,Honeymoon,200
294,17,116,F3,Normal,240
295,86,87,G1,Normal,160
296,90,104,F12,Normal,160
297,44,123,A14,Normal,350
298,25,79,G14,Normal,300
299,17,43,F8,Normal,200
300,13,97,D9,Normal,350
301,84,31,J12,Normal,200
302,25,99,G5,Normal,200
303,68,17,A9,Normal,200
304,10,83,D8,Normal,240
305,67,110,F2,Normal,350
306,18,182,D15,Normal,240
307,100,190,D1,Normal,300
308,86,32,D9,Normal,300
309,34,168,E14,Normal,160
310,8,141,H7,Normal,160
311,40,35,G5,Normal,160
312,83,133,B8,Normal,300
313,42,29,B12,Honeymoon,200
314,41,70,E10,Honeymoon,200
315,6,153,H4,Normal,350
316,52,95,F2,Normal,300
317,26,22,D5,Honeymoon,160
318,64,194,J4,VIP,300
319,98,173,B4,Normal,200
320,59,69,A1,Normal,200
321,56,89,C10,Normal,240
322,59,72,B7,Normal,240
323,70,129,H7,Normal,350
324,33,172,C10,Normal,300
325,53,87,C8,Honeymoon,240
326,22,96,D3,Normal,240
327,21,75,E15,Normal,300
328,70,167,H2,Normal,200
329,70,54,A8,Normal,350
330,4,88,F11,Normal,350
331,94,157,E8,Normal,350
332,75,54,E15,Normal,240
333,62,16,K2,Normal,200
334,62,99,F15,VIP,350
335,94,20,J10,Normal,300
336,95,46,F5,Normal,350
337,24,195,G5,Normal,160
338,55,193,E10,Normal,200
339,9,127,F15,Normal,160
340,3,58,D14,Normal,200
341,31,181,K12,Normal,300
342,40,111,B13,Normal,240
343,36,129,E12,Honeymoon,240
344,24,81,A14,Normal,200
345,95,194,B9,Normal,350
346,6,157,H7,Normal,160
347,66,84,C14,Honeymoon,300
348,84,70,D11,Normal,350
349,92,8,H15,Normal,240
350,75,29,C2,Honeymoon,350
351,4,112,B10,Normal,160
352,79,179,H11,Normal,240
353,6,161,E6,Normal,200
354,94,131,C12,Honeymoon,300
355,51,188,F1,Honeymoon,300
356,62,163,K2,VIP,240
357,57,197,C8,VIP,200
358,66,108,E1,Honeymoon,160
359,79,109,F14,Normal,300
360,75,20,B3,Honeymoon,240
361,8,73,E10,Normal,300
362,26,167,F7,Normal,200
363,51,4,H11,Normal,160
364,45,19,F5,Normal,200
365,44,102,A15,Honeymoon,350
366,5,173,A13,Normal,200
367,70,171,H14,Normal,200
368,26,141,C13,Normal,300
369,68,141,D12,Honeymoon,200
